医疗服务II [['603259.XSHG', '药明康德', 2956.3066], ['300015.XSHE', '爱尔眼科', 1064.9603], ['300759.XSHE', '康龙化成', 561.732], ['300347.XSHE', '泰格医药', 518.2516], ['002821.XSHE', '凯莱英', 374.9093]]
黄金II [['600547.XSHG', '山东黄金', 2017.3052], ['600489.XSHG', '中金黄金', 1208.435], ['000975.XSHE', '山金国际', 706.3981], ['600988.XSHG', '赤峰黄金', 589.6976], ['002155.XSHE', '湖南黄金', 358.941]]
化学原料II [['600989.XSHG', '宝丰能源', 1454.2053], ['002648.XSHE', '卫星化学', 623.8732], ['002601.XSHE', '龙佰集团', 486.1482], ['601216.XSHG', '君正集团', 437.9331], ['000830.XSHE', '鲁西化工', 322.5916]]
地面兵装II [['601606.XSHG', '长城军工', 376.3815], ['600967.XSHG', '内蒙一机', 324.1919], ['600435.XSHG', '北方导航', 312.7556], ['000519.XSHE', '中兵红箭', 273.7771], ['688543.XSHG', '国科军工', 156.005]]
教育II [['002607.XSHE', '中公教育', 177.0044], ['300010.XSHE', '豆神教育', 159.5425], ['002093.XSHE', '国脉科技', 122.109], ['300192.XSHE', '科德教育', 74.3206], ['600730.XSHG', '中国高科', 73.2733]]
食品加工II [['000895.XSHE', '双汇发展', 897.3473], ['603345.XSHG', '安井食品', 287.1284], ['300146.XSHE', '汤臣倍健', 207.7379], ['002626.XSHE', '金达威', 122.4749], ['603262.XSHG', '技源集团', 116.4429]]
照明设备II [['603515.XSHG', '欧普照明', 137.9782], ['605365.XSHG', '立达信', 126.8587], ['000541.XSHE', '佛山照明', 97.0612], ['603303.XSHG', '得邦照明', 62.0982], ['002724.XSHE', '海洋王', 53.6963]]
军工电子II [['302132.XSHE', '中航成飞', 2299.3346], ['002179.XSHE', '中航光电', 823.7956], ['688375.XSHG', '国博电子', 774.7598], ['002414.XSHE', '高德红外', 693.1405], ['000547.XSHE', '航天发展', 603.9013]]
商用车II [['600418.XSHG', '江淮汽车', 1103.5801], ['600066.XSHG', '宇通客车', 718.8661], ['000800.XSHE', '一汽解放', 336.1235], ['600166.XSHG', '福田汽车', 230.3964], ['000951.XSHE', '中国重汽', 198.4354]]
环保设备II [['000967.XSHE', '盈峰环境', 225.8031], ['600388.XSHG', '龙净环保', 205.7475], ['002645.XSHE', '华宏科技', 97.8429], ['688376.XSHG', '美埃科技', 81.7441], ['300203.XSHE', '聚光科技', 73.6827]]
煤炭开采II [['601088.XSHG', '中国神华', 8434.1867], ['601225.XSHG', '陕西煤业', 2190.1005], ['601898.XSHG', '中煤能源', 1831.0214], ['600188.XSHG', '兖矿能源', 1430.3410000000001], ['002128.XSHE', '电投能源', 667.9889]]
航空装备II [['600760.XSHG', '中航沈飞', 1769.0991], ['002625.XSHE', '光启技术', 1193.8571], ['600893.XSHG', '航发动力', 1172.0618], ['000768.XSHE', '中航西飞', 833.5104], ['600372.XSHG', '中航机载', 750.5129]]
化学制品II [['600309.XSHG', '万华化学', 2484.0292], ['600160.XSHG', '巨化股份', 1020.7739999999999], ['002001.XSHE', '新和成', 785.2592], ['603260.XSHG', '合盛硅业', 650.2138], ['600378.XSHG', '昊华科技', 458.7239]]
白酒II [['600519.XSHG', '贵州茅台', 17770.9666], ['000858.XSHE', '五粮液', 4158.7548], ['600809.XSHG', '山西汾酒', 2153.8468], ['000568.XSHE', '泸州老窖', 1720.1114], ['002304.XSHE', '洋河股份', 943.0346]]
乘用车II [['002594.XSHE', '比亚迪', 8844.5934], ['601127.XSHG', '赛力斯', 2172.6038], ['601633.XSHG', '长城汽车', 1893.8571], ['600104.XSHG', '上汽集团', 1770.2727], ['000625.XSHE', '长安汽车', 1174.8192]]
林业II [['000592.XSHE', '平潭发展', 289.1876], ['002679.XSHE', '福建金森', 27.9135], ['000663.XSHE', '永安林业', 25.4533], ['600265.XSHG', 'ST景谷', 25.3499]]
广告营销II [['002027.XSHE', '分众传媒', 1113.4936], ['300058.XSHE', '蓝色光标', 616.8], ['301171.XSHE', '易点天下', 248.6367], ['002400.XSHE', '省广集团', 180.7841], ['600986.XSHG', '浙文互联', 145.1677]]
医疗美容II [['300896.XSHE', '爱美客', 453.6158], ['688363.XSHG', '华熙生物', 222.6799], ['000615.XSHE', '*ST美谷', 59.7023]]
物流II [['002352.XSHE', '顺丰控股', 1963.866], ['001391.XSHE', '国货航', 728.8702], ['600233.XSHG', '圆通速递', 566.4361], ['601598.XSHG', '中国外运', 443.3378], ['600704.XSHG', '物产中大', 296.8257]]
房屋建设II [['601668.XSHG', '中国建筑', 2140.3962], ['600170.XSHG', '上海建工', 241.6976], ['000628.XSHE', '高新发展', 180.1912], ['600248.XSHG', '陕建股份', 135.0044], ['002761.XSHE', '浙江建投', 94.7647]]
冶钢原料II [['600295.XSHG', '鄂尔多斯', 442.2066], ['001203.XSHE', '大中矿业', 428.0361], ['000629.XSHE', '钒钛股份', 332.6159], ['600516.XSHG', '方大炭素', 243.1686], ['601969.XSHG', '海南矿业', 230.398]]
金属非金属新材料II [['300748.XSHE', '金力永磁', 519.9728], ['688102.XSHG', '斯瑞新材', 362.7316], ['000969.XSHE', '安泰科技', 264.6258], ['300811.XSHE', '铂科新材', 223.0013], ['601137.XSHG', '博威合金', 194.80900000000003]]
元件II [['300476.XSHE', '胜宏科技', 2565.7898], ['600183.XSHG', '生益科技', 1715.444], ['002916.XSHE', '深南电路', 1548.5055], ['002384.XSHE', '东山精密', 1492.0275], ['002463.XSHE', '沪电股份', 1347.0545]]
稀有金属II [['600111.XSHG', '北方稀土', 1786.204], ['001280.XSHE', '中国铀业', 1415.8773], ['600549.XSHG', '厦门钨业', 765.0576], ['000657.XSHE', '中钨高新', 749.433], ['601958.XSHG', '金钼股份', 593.0499]]
包装印刷II [['002831.XSHE', '裕同科技', 255.9028], ['002565.XSHE', '顺灏股份', 236.3775], ['002701.XSHE', '奥瑞金', 154.6095], ['002969.XSHE', '嘉美包装', 151.4735], ['600210.XSHG', '紫江企业', 114.8169]]
数字媒体II [['300413.XSHE', '芒果超媒', 492.7479], ['603000.XSHG', '人民网', 232.748], ['000681.XSHE', '视觉中国', 182.2902], ['603888.XSHG', '新华网', 150.0618], ['603533.XSHG', '掌阅科技', 116.7027]]
汽车服务II [['601965.XSHG', '中国汽研', 177.1395], ['600335.XSHG', '国机汽车', 97.8246], ['301215.XSHE', '中汽股份', 92.8054], ['600676.XSHG', '交运股份', 69.8347], ['600822.XSHG', '上海物贸', 56.1937]]
饲料II [['002311.XSHE', '海大集团', 890.2726], ['301498.XSHE', '乖宝宠物', 269.4782], ['002385.XSHE', '大北农', 175.4432], ['002891.XSHE', '中宠股份', 160.5288], ['603363.XSHG', '傲农生物', 116.3524]]
特钢II [['000708.XSHE', '中信特钢', 801.9934], ['000825.XSHE', '太钢不锈', 308.16700000000003], ['002318.XSHE', '久立特材', 283.1841], ['600507.XSHG', '方大特钢', 137.4034], ['600399.XSHG', '抚顺特钢', 127.9893]]
普钢II [['600019.XSHG', '宝钢股份', 1585.7358], ['600010.XSHG', '包钢股份', 1177.5041], ['000932.XSHE', '华菱钢铁', 388.2651], ['000959.XSHE', '首钢股份', 379.9934], ['600282.XSHG', '南钢股份', 340.31300000000005]]
